"","Ref.ID","Study.design","Design.ID","na","n1","n2","n3","r1","r2","r3","t1","t2","t3","tx_name.1","tx_name.2","tx_name.3"
"1",2,"Retrospective",2,2,375,632,NA,1,1,NA,2,3,NA,"PfizerBiontech","Moderna",NA
"3",28,"Retrospective",2,2,12169,23037,NA,53,99,NA,2,3,NA,"PfizerBiontech","Moderna",NA
"5",30,"Retrospective",2,2,55893,17636,NA,998,91,NA,1,2,NA,"Unvaccinated/Placebo","PfizerBiontech",NA
"7",50,"Retrospective",2,2,41029,33915,NA,81,65,NA,2,3,NA,"PfizerBiontech","Moderna",NA
"9",105,"Retrospective",2,2,33,110,NA,16,29,NA,1,2,NA,"Unvaccinated/Placebo","PfizerBiontech",NA
"11",151,"Retrospective",2,2,67780,79517,NA,61,71,NA,2,3,NA,"PfizerBiontech","Moderna",NA
"13",338,"Retrospective",2,2,121,213,NA,84,134,NA,2,3,NA,"PfizerBiontech","Moderna",NA
"15",1435,"Retrospective",2,2,946,688,NA,178,84,NA,1,2,NA,"Unvaccinated/Placebo","PfizerBiontech",NA
"17",1487,"Retrospective",2,2,133,110,NA,0,0,NA,2,3,NA,"PfizerBiontech","Moderna",NA
"19",2198,"Retrospective",2,2,45,21,NA,11,5,NA,2,3,NA,"PfizerBiontech","Moderna",NA
"21",2879,"Retrospective",2,2,194,226,NA,17,9,NA,1,2,NA,"Unvaccinated/Placebo","PfizerBiontech",NA
"23",431,"Prospective observational study",3,2,327,38,NA,7,1,NA,2,3,NA,"PfizerBiontech","Moderna",NA
"25",6,"Test-negative",4,3,9537,6227,4337,1127,272,138,1,2,3,"Unvaccinated/Placebo","PfizerBiontech","Moderna"
