"","Ref.ID","Study.design","Design.ID","na","n1","n2","n3","n4","r1","r2","r3","r4","t1","t2","t3","t4","tx_name.1","Event.rate.1","tx_name.2","Event.rate.2","tx_name.3","Event.rate.3","tx_name.4","Event.rate.4"
"1",2,"Retrospective",2,3,1239,375,632,NA,2,0,0,NA,1,2,3,NA,"Unvaccinated/Placebo",0.00161420500403551,"PfizerBiontech",0,"Moderna",0,NA,NA
"4",28,"Retrospective",2,2,12169,23037,NA,NA,53,99,NA,NA,2,3,NA,NA,"PfizerBiontech",NA,"Moderna",NA,NA,NA,NA,NA
"6",30,"Retrospective",2,2,55893,17636,NA,NA,998,91,NA,NA,1,2,NA,NA,"Unvaccinated/Placebo",0.0179,"PfizerBiontech",0.0052,NA,NA,NA,NA
"8",50,"Retrospective",2,2,41029,33915,NA,NA,81,65,NA,NA,2,3,NA,NA,"PfizerBiontech",0.00197421336128105,"Moderna",0.00191655609612266,NA,NA,NA,NA
"10",105,"Retrospective",2,4,33,33,110,110,16,6,29,5,1,1,2,2,"Unvaccinated/Placebo",0.4848,"Unvaccinated/Placebo",0.1818,"PfizerBiontech",0.2636,"PfizerBiontech",0.045
"14",338,"Retrospective",2,4,121,121,213,213,84,29,134,40,2,2,3,3,"PfizerBiontech",0.694,"PfizerBiontech",0.239,"Moderna",0.629,"Moderna",0.187
"18",1435,"Retrospective",2,2,946,688,NA,NA,178,84,NA,NA,1,2,NA,NA,"Unvaccinated/Placebo",0.18816067653277,"PfizerBiontech",0.122093023255814,NA,NA,NA,NA
"20",2198,"Retrospective",2,2,45,21,NA,NA,11,5,NA,NA,2,3,NA,NA,"PfizerBiontech",0.244444444444444,"Moderna",0.238095238095238,NA,NA,NA,NA
"22",2879,"Retrospective",2,2,194,226,NA,NA,17,9,NA,NA,1,2,NA,NA,"Unvaccinated/Placebo",0.09,"PfizerBiontech",0.0398230088495575,NA,NA,NA,NA
"24",8027,"Retrospective",2,2,275,157,NA,NA,0,0,NA,NA,2,3,NA,NA,"PfizerBiontech",0,"Moderna",0,NA,NA,NA,NA
"26",431,"Prospective observational study",3,2,327,38,NA,NA,7,1,NA,NA,2,3,NA,NA,"PfizerBiontech",0.0214067278287462,"Moderna",0.0263157894736842,NA,NA,NA,NA
"28",6,"Test-negative",4,3,9537,6227,4337,NA,1127,272,138,NA,1,2,3,NA,"Unvaccinated/Placebo",0.118,"PfizerBiontech",0.044,"Moderna",0.032,NA,NA
