"","Ref ID","Study design","Intervention name (full)","Total N","n of events"
"1",2,"Cohort study","2 doses BNT162b2","375","2"
"2",2,"Cohort study","2 doses mRNA-1273","632","2"
"3",2,"Cohort study","1 doses BNT162b2","*88","1"
"4",2,"Cohort study","1 doses mRNA-1273","*88","1"
"5",2,"Cohort study","Purely unvaccinated","1151","59"
"6",2,"Cohort study","2 doses BNT162b2","375","0"
"7",2,"Cohort study","2 doses mRNA-1273","632","0"
"8",2,"Cohort study","Unvaccinated - includes unvaccinated and partially vaccinated patients (receiving 1 dose)","1239","2"
"9",2,"Cohort study","2 doses BNT162b2","375","1"
"10",2,"Cohort study","2 doses mRNA-1273","632","1"
"11",50,"Retrospective cohort study","2 doses mRNA-1273","57000","617"
"12",50,"Retrospective cohort study","2 doses  BNT161b2","66757","840"
"13",50,"Retrospective cohort study","2 doses mRNA-1273",NA,NA
"14",50,"Retrospective cohort study","2 doses  BNT161b2",NA,NA
"15",50,"Retrospective cohort study","2 doses mRNA-1273","57000","90"
"16",50,"Retrospective cohort study","2 doses  BNT161b2","66757","125"
"17",50,"Retrospective cohort study","2 doses mRNA-1273",NA,NA
"18",50,"Retrospective cohort study","2 doses  BNT161b2",NA,NA
"19",50,"Retrospective cohort study","2 doses mRNA-1273","21539","239"
"20",50,"Retrospective cohort study","2 doses  BNT161b2","27474","342"
"21",50,"Retrospective cohort study","2 doses mRNA-1273",NA,NA
"22",50,"Retrospective cohort study","2 doses  BNT161b2",NA,NA
"23",50,"Retrospective cohort study","2 doses mRNA-1273","29938","308"
"24",50,"Retrospective cohort study","2 doses  BNT161b2","33935","426"
"25",50,"Retrospective cohort study","2 doses mRNA-1273",NA,NA
"26",50,"Retrospective cohort study","2 doses  BNT161b2",NA,NA
"27",50,"Retrospective cohort study","2 doses mRNA-1273","6223","70"
"28",50,"Retrospective cohort study","2 doses  BNT161b2","5348","72"
"29",50,"Retrospective cohort study","2 doses mRNA-1273",NA,NA
"30",50,"Retrospective cohort study","2 doses  BNT161b2",NA,NA
"31",50,"Retrospective cohort study","2 doses mRNA-1273","4536","83"
"32",50,"Retrospective cohort study","2 doses  BNT161b2","5867","103"
"33",50,"Retrospective cohort study","2 doses mRNA-1273","4536",NA
"34",50,"Retrospective cohort study","2 doses  BNT161b2","5867",NA
"35",50,"Retrospective cohort study","2 doses mRNA-1273","4029","92"
"36",50,"Retrospective cohort study","2 doses  BNT161b2","5043","117"
"37",50,"Retrospective cohort study","2 doses mRNA-1273","4029",NA
"38",50,"Retrospective cohort study","2 doses  BNT161b2","5043",NA
"39",50,"Retrospective cohort study","2 doses mRNA-1273","7186","61"
"40",50,"Retrospective cohort study","2 doses  BNT161b2","8277","100"
"41",50,"Retrospective cohort study","2 doses mRNA-1273",NA,NA
"42",50,"Retrospective cohort study","2 doses  BNT161b2",NA,NA
"43",50,"Retrospective cohort study","2 doses mRNA-1273","3265","22"
"44",50,"Retrospective cohort study","2 doses  BNT161b2","3657","40"
"45",50,"Retrospective cohort study","2 doses mRNA-1273",NA,NA
"46",50,"Retrospective cohort study","2 doses  BNT161b2",NA,NA
"47",50,"Retrospective cohort study","2 doses mRNA-1273","12510","93"
"48",50,"Retrospective cohort study","2 doses  BNT161b2","12505","125"
"49",50,"Retrospective cohort study","2 doses mRNA-1273",NA,NA
"50",50,"Retrospective cohort study","2 doses  BNT161b2",NA,NA
"51",50,"Retrospective cohort study","2 doses mRNA-1273","33915","432"
"52",50,"Retrospective cohort study","2 doses  BNT161b2","41029","565"
"53",50,"Retrospective cohort study","2 doses mRNA-1273",NA,NA
"54",50,"Retrospective cohort study","2 doses  BNT161b2",NA,NA
"55",50,"Retrospective cohort study","2 doses mRNA-1273","21539","22"
"56",50,"Retrospective cohort study","2 doses  BNT161b2","27474","36"
"57",50,"Retrospective cohort study","2 doses mRNA-1273",NA,NA
"58",50,"Retrospective cohort study","2 doses  BNT161b2",NA,NA
